75C, 69C, 55C, 51C, 31C, 66C, 3C, 92C, 96C, 7C,
51C, 98C, 66C, 39C, 99C, 15C, 71C, 98C, 80C, 14C,
63C, 98C, 40C, 12C, 75C, 93C, 19C, 91C, 82C, 82C,
21C, 14C, 3C, 98C, 36C, 72C, 17C, 70C, 79C, 76C,
14C, 79C, 39C, 52C, 35C, 5C, 40C, 30C, 39C, 56C,
16C, 62C, 63C, 49C, 92C, 38C, 19C, 3C, 68C, 40C,
5C, 44C, 50C, 22C, 79C, 94C, 71C, 62C, 76C, 20C,
99C, 62C, 15C, 48C, 26C, 36C, 19C, 93C, 19C, 78C,
32C, 77C, 43C, 77C, 27C, 75C, 37C, 92C, 34C, 51C,
51C, 70C, 91C, 73C, 8C, 23C, 33C, 80C, 92C, 5C,
92C, 13C, 26C, 32C, 74C, 35C, 23C, 5C, 73C, 21C,
65C, 57C, 36C, 17C, 1C, 39C, 14C, 20C, 1C, 95C,
27C, 7C, 40C, 37C, 91C, 57C, 87C, 64C, 76C, 58C,
45C, 92C, 14C, 93C, 21C, 12C, 28C, 30C, 2C, 46C,
69C, 85C, 71C, 35C, 1C, 17C, 97C, 94C, 29C, 97C,
18C, 26C, 19C, 56C, 56C, 37C, 37C, 94C, 47C, 67C,
19C, 8C, 54C, 47C, 67C, 5C, 37C, 65C, 77C, 93C,
42C, 97C, 56C, 16C, 2C, 70C, 4C, 39C, 15C, 9C,
59C, 80C, 13C, 75C, 57C, 2C, 98C, 23C, 54C, 96C,
66C, 79C, 14C, 91C, 10C, 78C, 51C, 17C, 56C, 5C,
6C, 23C, 74C, 84C, 55C, 11C, 59C, 72C, 36C, 50C,
31C, 95C, 82C, 26C, 53C, 13C, 75C, 18C, 15C, 86C,
58C, 77C, 20C, 30C, 67C, 54C, 76C, 69C, 26C, 65C,
47C, 71C, 4C, 72C, 74C, 93C, 40C, 21C, 0C, 22C,
29C, 38C, 53C, 0C, 3C, 94C, 84C, 5C, 40C, 43C,
33C, 97C, 54C, 51C, 53C, 62C, 43C, 9C, 84C, 3C,
2C, 92C, 17C, 89C, 24C, 82C, 54C, 51C, 49C, 0C,
74C, 76C, 51C, 84C, 38C, 27C, 88C, 65C, 18C, 80C,
12C, 62C, 99C, 25C, 96C, 9C, 39C, 46C, 86C, 9C,
30C, 75C, 13C, 87C, 35C, 52C, 68C, 50C, 57C, 46C,
57C, 86C, 94C, 31C, 79C, 38C, 0C, 91C, 82C, 62C,
54C, 72C, 50C, 90C, 88C, 86C, 77C, 35C, 20C, 25C,
84C, 29C, 60C, 51C, 10C, 34C, 47C, 38C, 51C, 97C,
16C, 76C, 11C, 97C, 45C, 74C, 97C, 38C, 50C, 22C,
68C, 5C, 52C, 49C, 59C, 51C, 98C, 16C, 91C, 17C,
17C, 47C, 15C, 78C, 47C, 23C, 55C, 58C, 97C, 68C,
78C, 11C, 87C, 70C, 35C, 19C, 81C, 75C, 50C, 54C,
92C, 16C, 37C, 62C, 50C, 21C, 56C, 0C, 21C, 23C,
59C, 83C, 0C, 13C, 3C, 17C, 28C, 95C, 67C, 37C,
9C, 18C, 97C, 56C, 94C, 87C, 67C, 0C, 86C, 48C,
57C, 46C, 31C, 69C, 63C, 29C, 83C, 75C, 66C, 88C,
76C, 16C, 39C, 24C, 1C, 63C, 65C, 64C, 60C, 81C,
14C, 54C, 57C, 30C, 62C, 63C, 80C, 52C, 80C, 80C,
38C, 28C, 90C, 56C, 24C, 74C, 62C, 53C, 5C, 59C,
60C, 81C, 63C, 15C, 59C, 61C, 42C, 97C, 78C, 75C,
24C, 4C, 49C, 8C, 89C, 96C, 66C, 10C, 55C, 85C,
89C, 84C, 2C, 57C, 90C, 86C, 71C, 33C, 65C, 68C,
97C, 22C, 95C, 77C, 63C, 23C, 30C, 14C, 71C, 73C,
5C, 49C, 86C, 82C, 86C, 58C, 15C, 74C, 77C, 77C,
