167.0F, 156.2F, 131.0F, 123.8F, 87.8F, 150.8F, 37.4F, 197.6F, 204.8F, 44.6F, 
170.6F, 167.0F, 163.4F, 98.6F, 113.0F, 210.2F, 87.8F, 73.4F, 199.4F, 109.4F, 
168.8F, 102.2F, 84.2F, 190.4F, 199.4F, 149.0F, 91.4F, 127.4F, 80.6F, 82.4F, 
159.8F, 138.2F, 60.8F, 170.6F, 98.6F, 32.0F, 109.4F, 158.0F, 35.6F, 147.2F, 
203.0F, 188.6F, 62.6F, 176.0F, 114.8F, 75.2F, 59.0F, 125.6F, 186.8F, 89.6F, 
51.8F, 183.2F, 82.4F, 177.8F, 89.6F, 123.8F, 158.0F, 132.8F, 127.4F, 60.8F, 
134.6F, 35.6F, 100.4F, 183.2F, 66.2F, 51.8F, 176.0F, 37.4F, 86.0F, 57.2F, 
158.0F, 77.0F, 208.4F, 176.0F, 197.6F, 109.4F, 69.8F, 82.4F, 41.0F, 141.8F, 
204.8F, 156.2F, 48.2F, 93.2F, 91.4F, 138.2F, 140.0F, 156.2F, 113.0F, 159.8F, 
123.8F, 208.4F, 150.8F, 102.2F, 210.2F, 59.0F, 159.8F, 208.4F, 176.0F, 57.2F, 
145.4F, 208.4F, 104.0F, 53.6F, 167.0F, 199.4F, 66.2F, 195.8F, 179.6F, 179.6F, 
69.8F, 57.2F, 37.4F, 208.4F, 96.8F, 161.6F, 62.6F, 158.0F, 174.2F, 168.8F, 
57.2F, 174.2F, 102.2F, 125.6F, 95.0F, 41.0F, 104.0F, 86.0F, 102.2F, 132.8F, 
60.8F, 143.6F, 145.4F, 120.2F, 197.6F, 100.4F, 66.2F, 37.4F, 154.4F, 104.0F, 
41.0F, 111.2F, 122.0F, 71.6F, 174.2F, 201.2F, 159.8F, 143.6F, 168.8F, 68.0F, 
210.2F, 143.6F, 59.0F, 118.4F, 78.8F, 96.8F, 66.2F, 199.4F, 66.2F, 172.4F, 
89.6F, 170.6F, 109.4F, 170.6F, 80.6F, 167.0F, 98.6F, 197.6F, 93.2F, 123.8F, 
123.8F, 158.0F, 195.8F, 163.4F, 46.4F, 73.4F, 91.4F, 176.0F, 197.6F, 41.0F, 
197.6F, 55.4F, 78.8F, 89.6F, 165.2F, 95.0F, 73.4F, 41.0F, 163.4F, 69.8F, 
149.0F, 134.6F, 96.8F, 62.6F, 33.8F, 102.2F, 57.2F, 68.0F, 33.8F, 203.0F, 
80.6F, 44.6F, 104.0F, 98.6F, 195.8F, 134.6F, 188.6F, 147.2F, 168.8F, 136.4F, 
113.0F, 197.6F, 57.2F, 199.4F, 69.8F, 53.6F, 82.4F, 86.0F, 35.6F, 114.8F, 
156.2F, 185.0F, 159.8F, 95.0F, 33.8F, 62.6F, 206.6F, 201.2F, 84.2F, 206.6F, 
64.4F, 78.8F, 66.2F, 132.8F, 132.8F, 98.6F, 98.6F, 201.2F, 116.6F, 152.6F, 
66.2F, 46.4F, 129.2F, 116.6F, 152.6F, 41.0F, 98.6F, 149.0F, 170.6F, 199.4F, 
107.6F, 206.6F, 132.8F, 60.8F, 35.6F, 158.0F, 39.2F, 102.2F, 59.0F, 48.2F, 
138.2F, 176.0F, 55.4F, 167.0F, 134.6F, 35.6F, 208.4F, 73.4F, 129.2F, 204.8F, 
150.8F, 174.2F, 57.2F, 195.8F, 50.0F, 172.4F, 123.8F, 62.6F, 132.8F, 41.0F, 
42.8F, 73.4F, 165.2F, 183.2F, 131.0F, 51.8F, 138.2F, 161.6F, 96.8F, 122.0F, 
87.8F, 203.0F, 179.6F, 78.8F, 127.4F, 55.4F, 167.0F, 64.4F, 59.0F, 186.8F, 
136.4F, 170.6F, 68.0F, 86.0F, 152.6F, 129.2F, 168.8F, 156.2F, 78.8F, 149.0F, 
116.6F, 159.8F, 39.2F, 161.6F, 165.2F, 199.4F, 104.0F, 69.8F, 32.0F, 71.6F, 
84.2F, 100.4F, 127.4F, 32.0F, 37.4F, 201.2F, 183.2F, 41.0F, 104.0F, 109.4F, 
91.4F, 206.6F, 129.2F, 123.8F, 127.4F, 143.6F, 109.4F, 48.2F, 183.2F, 37.4F, 
35.6F, 197.6F, 62.6F, 192.2F, 75.2F, 179.6F, 129.2F, 123.8F, 120.2F, 32.0F, 
165.2F, 168.8F, 123.8F, 183.2F, 100.4F, 80.6F, 190.4F, 149.0F, 64.4F, 176.0F, 
53.6F, 143.6F, 210.2F, 77.0F, 204.8F, 48.2F, 102.2F, 114.8F, 186.8F, 48.2F, 
86.0F, 167.0F, 55.4F, 188.6F, 95.0F, 125.6F, 154.4F, 122.0F, 134.6F, 114.8F, 
134.6F, 186.8F, 201.2F, 87.8F, 174.2F, 100.4F, 32.0F, 195.8F, 179.6F, 143.6F, 
129.2F, 161.6F, 122.0F, 194.0F, 190.4F, 186.8F, 170.6F, 95.0F, 68.0F, 77.0F, 
183.2F, 84.2F, 140.0F, 123.8F, 50.0F, 93.2F, 116.6F, 100.4F, 123.8F, 206.6F, 
60.8F, 168.8F, 51.8F, 206.6F, 113.0F, 165.2F, 206.6F, 100.4F, 122.0F, 71.6F, 
154.4F, 41.0F, 125.6F, 120.2F, 138.2F, 123.8F, 208.4F, 60.8F, 195.8F, 62.6F, 
62.6F, 116.6F, 59.0F, 172.4F, 116.6F, 73.4F, 131.0F, 136.4F, 206.6F, 154.4F, 
172.4F, 51.8F, 188.6F, 158.0F, 95.0F, 66.2F, 177.8F, 167.0F, 122.0F, 129.2F, 
197.6F, 60.8F, 98.6F, 143.6F, 122.0F, 69.8F, 132.8F, 32.0F, 69.8F, 73.4F, 
138.2F, 181.4F, 32.0F, 55.4F, 37.4F, 62.6F, 82.4F, 203.0F, 152.6F, 98.6F, 
